GAME_DATE,MATCHUP,opponent,Player_ID,Game_ID,is_home,rest_days,pts_avg_5,pts_avg_10,min_avg_5,min_avg_10,fga_avg_5,fta_avg_5,usage_avg_5,pts_allowed_avg_10,pts_allowed_avg_10.1,pace_proxy_avg_10,star_pts_allowed_avg_10,label_pts,player_name
2024-11-11,OKC vs. LAC,LAC,1628983,22400215,1,1.0,25.4,26.1,33.6,32.5,16.4,8.8,24.672,106.3,106.3,214.8,108.5,45,shai_gilgeous-alexander
2024-11-12,MIN @ POR,POR,1630162,22400008,0,2.0,26.8,28.3,33.4,36.1,19.2,4.2,24.648,114.3,114.3,220.0,105.7,26,anthony_edwards
2024-11-13,MIN @ POR,POR,1630162,22400226,0,1.0,27.8,28.2,33.6,35.7,19.6,4.6,24.824,114.6,114.6,222.2,107.6,24,anthony_edwards
2024-11-13,DET @ MIL,MIL,1630595,22400223,0,1.0,21.2,21.4,36.8,36.4,18.6,5.0,25.4,113.3,113.3,221.4,108.1,35,cade_cunningham
2024-11-13,MIL vs. DET,DET,203507,22400223,1,1.0,31.0,30.7,34.6,34.5,22.0,8.8,27.872000000000003,109.9,109.9,219.0,109.1,59,giannis_antetokounmpo
2024-11-13,NYK vs. CHI,CHI,1628973,22400219,1,1.0,23.2,24.3,37.4,34.7,17.6,7.0,23.28,119.9,119.9,234.9,115.0,24,jalen_brunson
2024-11-13,LAL vs. MEM,MEM,2544,22400225,1,3.0,25.2,23.2,36.0,34.9,17.0,4.6,21.224,110.3,110.3,230.7,120.4,35,lebron_james
2024-11-13,OKC vs. NOP,NOP,1628983,22400221,1,2.0,29.4,27.8,35.2,32.8,17.8,10.2,26.288,117.1,117.1,222.5,105.4,29,shai_gilgeous-alexander
2024-11-15,MIN @ SAC,SAC,1630162,22400020,0,2.0,28.4,27.4,35.8,35.8,22.4,4.0,27.76,110.2,110.2,225.8,115.6,36,anthony_edwards
2024-11-15,DET @ TOR,TOR,1630595,22400011,0,2.0,24.8,22.8,38.2,36.6,22.0,4.8,29.312,120.6,120.6,233.8,113.2,15,cade_cunningham
2024-11-15,NYK vs. BKN,BKN,1628973,22400014,1,2.0,22.2,24.5,35.8,35.6,16.8,6.2,22.328,113.1,113.1,224.7,111.6,37,jalen_brunson
2024-11-15,LAL @ SAS,SAS,2544,22400015,0,2.0,26.8,25.1,36.2,35.1,18.0,5.0,23.6,108.4,108.4,218.4,110.0,15,lebron_james
2024-11-15,OKC vs. PHX,PHX,1628983,22400018,1,2.0,31.0,28.4,34.8,33.2,19.6,10.0,27.6,113.0,113.0,227.0,114.0,28,shai_gilgeous-alexander
2024-11-16,MIL @ CHA,CHA,203507,22400229,0,3.0,36.0,34.1,35.6,35.8,23.4,10.8,30.752,113.4,113.4,220.8,107.4,22,giannis_antetokounmpo
2024-11-16,LAL @ NOP,NOP,2544,22400231,0,1.0,25.8,24.5,35.8,35.4,17.2,4.8,23.912,114.3,114.3,217.8,103.5,21,lebron_james
2024-11-17,MIN vs. PHX,PHX,1630162,22400234,1,2.0,29.0,28.6,37.2,36.1,23.2,4.0,28.56,112.7,112.7,223.6,110.9,24,anthony_edwards
2024-11-17,DET @ WAS,WAS,1630595,22400237,0,2.0,23.8,21.9,37.8,36.7,21.6,4.8,29.312,124.1,124.1,235.8,111.7,21,cade_cunningham
2024-11-17,NYK vs. BKN,BKN,1628973,22400240,1,2.0,25.4,25.6,35.2,36.0,17.2,8.2,23.608,115.3,115.3,227.6,112.3,12,jalen_brunson
2024-11-17,OKC vs. DAL,DAL,1628983,22400242,1,2.0,31.0,27.7,33.6,32.9,20.8,8.8,27.072000000000003,110.4,110.4,225.3,114.9,36,shai_gilgeous-alexander
2024-11-18,DET vs. CHI,CHI,1630595,22400244,1,1.0,23.6,21.8,36.8,36.1,21.2,4.8,27.912,125.0,125.0,240.3,115.3,26,cade_cunningham
2024-11-18,MIL vs. HOU,HOU,203507,22400248,1,2.0,34.2,32.5,36.2,35.6,23.6,8.6,29.584000000000003,105.7,105.7,221.6,115.9,20,giannis_antetokounmpo
2024-11-18,NYK vs. WAS,WAS,1628973,22400246,1,1.0,24.8,24.7,35.6,35.6,17.2,9.0,24.56,123.0,123.0,233.5,110.5,26,jalen_brunson
2024-11-19,LAL vs. UTA,UTA,2544,22400026,1,3.0,22.2,23.4,36.2,35.7,16.2,5.0,23.2,117.7,117.7,225.9,108.2,26,lebron_james
2024-11-19,OKC @ SAS,SAS,1628983,22400025,0,2.0,32.4,29.5,35.4,33.9,21.4,9.6,27.624,110.3,110.3,221.7,111.4,32,shai_gilgeous-alexander
2024-11-20,MIL vs. CHI,CHI,203507,22400253,1,2.0,33.4,32.3,37.0,35.9,22.8,8.8,30.272,126.3,126.3,243.6,117.3,41,giannis_antetokounmpo
2024-11-20,NYK @ PHX,PHX,1628973,22400257,0,2.0,23.4,25.1,33.4,35.0,16.8,7.2,22.768,113.2,113.2,222.3,109.1,36,jalen_brunson
2024-11-20,OKC vs. POR,POR,1628983,22400256,1,1.0,34.0,29.7,36.0,34.8,22.0,8.0,27.52,114.0,114.0,221.3,107.3,28,shai_gilgeous-alexander
2024-11-20,GSW vs. ATL,ATL,201939,22400258,1,2.0,24.8,23.0,30.8,29.1,18.0,2.4,22.856,117.5,117.5,232.9,115.4,23,stephen_curry
2024-11-21,MIN @ TOR,TOR,1630162,22400261,0,4.0,26.4,27.3,39.0,36.3,21.8,3.6,26.184,117.3,117.3,229.4,112.1,26,anthony_edwards
2024-11-21,DET @ CHA,CHA,1630595,22400260,0,3.0,23.6,22.2,36.8,36.5,20.4,5.4,27.176,112.0,112.0,217.4,105.4,27,cade_cunningham
