GAME_DATE,MATCHUP,opponent,Player_ID,Game_ID,is_home,rest_days,pts_avg_5,pts_avg_10,min_avg_5,min_avg_10,fga_avg_5,fta_avg_5,usage_avg_5,pts_allowed_avg_10,pts_allowed_avg_10,pace_proxy_avg_10,star_pts_allowed_avg_10,label_pts
2024-11-12,MIN @ POR,POR,1630162,22400008,0,2.0,26.8,28.3,33.4,36.1,19.2,4.2,24.648,114.3,114.3,220.0,105.7,26
2024-11-13,MIN @ POR,POR,1630162,22400226,0,1.0,27.8,28.2,33.6,35.7,19.6,4.6,24.823999999999998,114.6,114.6,222.2,107.6,24
2024-11-15,MIN @ SAC,SAC,1630162,22400020,0,2.0,28.4,27.4,35.8,35.8,22.4,4.0,27.76,110.2,110.2,225.8,115.6,36
2024-11-17,MIN vs. PHX,PHX,1630162,22400234,1,2.0,29.0,28.6,37.2,36.1,23.2,4.0,28.560000000000002,112.7,112.7,223.6,110.9,24
2024-11-21,MIN @ TOR,TOR,1630162,22400261,0,4.0,26.4,27.3,39.0,36.3,21.8,3.6,26.183999999999997,117.3,117.3,229.4,112.1,26
2024-11-24,MIN @ BOS,BOS,1630162,22400271,0,3.0,27.2,27.0,38.8,36.1,21.0,3.6,24.584,109.2,109.2,227.0,117.8,28
2024-11-26,MIN vs. HOU,HOU,1630162,22400037,1,2.0,27.6,27.7,39.2,36.4,21.4,3.2,25.208000000000002,103.7,103.7,217.5,113.8,29
2024-11-27,MIN vs. SAC,SAC,1630162,22400294,1,1.0,28.6,28.5,39.8,37.8,20.8,4.4,25.136000000000003,114.3,114.3,224.6,110.3,29
2024-11-29,MIN vs. LAC,LAC,1630162,22400044,1,2.0,27.2,28.1,38.8,38.0,20.2,5.6,24.864,107.6,107.6,217.7,110.1,21
2024-12-02,MIN vs. LAL,LAL,1630162,22400318,1,3.0,26.6,26.5,38.2,38.6,21.6,6.0,26.839999999999996,113.4,113.4,224.7,111.3,8
2024-12-04,MIN @ LAC,LAC,1630162,22400324,0,2.0,23.0,25.1,36.4,37.6,20.2,5.8,25.552,102.6,102.6,213.7,111.1,16
2024-12-06,MIN @ GSW,GSW,1630162,22400338,0,2.0,20.6,24.1,33.8,36.5,18.8,5.4,23.776,108.7,108.7,217.5,108.8,30
2024-12-08,MIN @ GSW,GSW,1630162,22400355,0,2.0,20.8,24.7,32.2,36.0,18.0,4.2,22.648,107.6,107.6,213.1,105.5,27
2024-12-13,MIN vs. LAL,LAL,1630162,22401210,1,5.0,20.4,23.8,32.2,35.5,17.0,3.0,22.119999999999997,115.4,115.4,220.3,104.9,23
2024-12-15,MIN @ SAS,SAS,1630162,22401218,0,2.0,20.8,23.7,31.6,34.9,16.8,3.0,22.12,118.6,118.6,234.1,115.5,26
2024-12-19,MIN vs. NYK,NYK,1630162,22400367,1,4.0,24.4,23.7,31.8,34.1,18.4,3.2,23.408,106.4,106.4,221.0,114.6,17
2024-12-21,MIN vs. GSW,GSW,1630162,22400383,1,2.0,24.6,22.6,33.4,33.6,18.8,2.8,23.631999999999998,114.9,114.9,220.9,106.0,19
2024-12-23,MIN @ ATL,ATL,1630162,22400395,0,2.0,22.4,21.6,34.2,33.2,19.2,2.8,23.432,116.5,116.5,232.5,116.0,16
2024-12-25,MIN @ DAL,DAL,1630162,22400406,0,2.0,20.2,20.3,33.2,32.7,19.4,2.6,23.344,113.4,113.4,234.7,121.3,26
2024-12-27,MIN @ HOU,HOU,1630162,22400422,0,2.0,20.8,20.8,34.4,33.0,20.2,1.6,23.504,107.7,107.7,219.3,111.6,24
2024-12-29,MIN vs. SAS,SAS,1630162,22400441,1,2.0,20.4,22.4,35.8,33.8,19.4,1.6,23.104,115.2,115.2,228.3,113.1,14
2024-12-31,MIN @ OKC,OKC,1630162,22400452,0,2.0,19.8,22.2,36.6,35.0,20.2,1.8,23.992,101.6,101.6,218.1,116.5,20
2025-01-02,MIN vs. BOS,BOS,1630162,22400464,1,2.0,20.0,21.2,36.6,35.4,18.6,1.8,22.792,106.4,106.4,225.0,118.6,15
2025-01-04,MIN @ DET,DET,1630162,22400479,0,2.0,19.8,20.0,37.4,35.3,17.8,2.4,21.656,116.0,116.0,231.1,115.1,53
2025-01-06,MIN vs. LAC,LAC,1630162,22400500,1,2.0,25.2,23.0,38.4,36.4,19.2,4.8,24.512,109.3,109.3,219.7,110.4,37
2025-01-07,MIN @ NOP,NOP,1630162,22400505,0,1.0,27.8,24.1,38.8,37.3,21.6,5.0,26.8,120.1,120.1,233.8,113.7,32
2025-01-09,MIN @ ORL,ORL,1630162,22400519,0,2.0,31.4,25.6,38.8,37.7,21.8,6.0,27.840000000000003,102.2,102.2,202.2,100.0,21
2025-01-11,MIN vs. MEM,MEM,1630162,22400535,1,2.0,31.6,25.8,38.2,37.4,23.2,7.0,29.48,120.0,120.0,242.8,122.8,15
2025-01-13,MIN @ WAS,WAS,1630162,22400548,0,2.0,31.6,25.7,38.8,38.1,22.6,7.6,29.944,123.9,123.9,234.8,110.9,41
2025-01-15,MIN vs. GSW,GSW,1630162,22400565,1,2.0,29.2,27.2,37.2,37.8,21.4,6.8,28.592000000000002,109.7,109.7,215.4,105.7,28
2025-01-17,MIN @ NYK,NYK,1630162,22400578,0,2.0,27.4,27.6,38.0,38.4,19.4,8.2,27.808,114.1,114.1,231.0,116.9,36
2025-01-18,MIN vs. CLE,CLE,1630162,22400590,1,1.0,28.2,29.8,38.0,38.4,19.4,7.8,28.032,117.4,117.4,240.2,122.8,28
2025-01-20,MIN @ MEM,MEM,1630162,22400601,0,2.0,29.6,30.6,39.0,38.6,20.0,7.2,28.367999999999995,119.6,119.6,241.3,121.7,32
2025-01-22,MIN @ DAL,DAL,1630162,22400614,0,2.0,33.0,32.3,38.8,38.8,21.2,9.4,30.336000000000002,112.8,112.8,221.5,108.7,21
2025-01-25,MIN vs. DEN,DEN,1630162,22400634,1,3.0,29.0,29.1,39.0,38.1,20.0,9.4,28.336000000000002,109.9,109.9,231.5,121.6,34
2025-01-27,MIN vs. ATL,ATL,1630162,22400656,1,2.0,30.2,28.8,37.4,37.7,20.8,8.0,28.120000000000005,117.3,117.3,229.5,112.2,23
2025-01-29,MIN @ PHX,PHX,1630162,22400672,0,2.0,27.6,27.9,36.8,37.4,20.6,9.8,28.112000000000002,112.0,112.0,227.9,115.9,33
2025-01-30,MIN @ UTA,UTA,1630162,22400677,0,1.0,28.6,29.1,36.6,37.8,20.2,10.4,28.976,118.5,118.5,227.9,109.4,36
2025-02-03,MIN vs. SAC,SAC,1630162,22400704,1,4.0,29.4,31.2,36.0,37.4,20.0,8.2,27.407999999999998,122.5,122.5,240.9,118.4,21
2025-02-05,MIN vs. CHI,CHI,1630162,22400723,1,2.0,29.4,29.2,36.2,37.6,20.4,7.4,27.456,117.7,117.7,232.0,114.3,49
2025-02-06,MIN vs. HOU,HOU,1630162,22400729,1,1.0,32.4,31.3,37.0,37.2,21.4,10.2,30.088,111.0,111.0,222.1,111.1,41
2025-02-10,MIN @ CLE,CLE,1630162,22400755,0,4.0,36.0,31.8,37.6,37.2,22.4,10.6,31.464,114.0,114.0,238.2,124.2,44
2025-02-12,MIN vs. MIL,MIL,1630162,22400776,1,2.0,38.2,33.4,37.0,36.8,24.0,11.4,33.416,123.2,123.2,238.7,115.5,28
2025-02-13,MIN vs. OKC,OKC,1630162,22400787,1,1.0,36.6,33.0,37.4,36.7,27.0,11.0,36.040000000000006,108.3,108.3,233.2,124.9,23
2025-02-21,MIN @ HOU,HOU,1630162,22400801,0,5.0,37.0,33.2,37.0,36.6,26.4,12.4,35.856,109.5,109.5,215.7,106.2,37
2025-02-23,MIN vs. OKC,OKC,1630162,22400820,1,2.0,34.6,33.5,37.4,37.2,27.2,10.8,35.552,107.7,107.7,232.4,124.7,29
2025-02-24,MIN @ OKC,OKC,1630162,22400826,0,1.0,32.2,34.1,37.6,37.6,26.4,9.8,34.512,108.4,108.4,235.2,126.8,17
2025-02-27,MIN @ LAL,LAL,1630162,22400849,0,3.0,26.8,32.5,37.4,37.2,23.8,9.2,31.048000000000002,108.3,108.3,226.5,118.2,18
2025-03-02,MIN @ PHX,PHX,1630162,22400873,0,3.0,24.8,30.7,35.2,36.3,19.6,9.0,26.359999999999996,123.4,123.4,242.5,119.1,44
2025-03-04,MIN vs. PHI,PHI,1630162,22400887,1,2.0,29.0,33.0,35.2,36.1,20.4,9.6,27.224,118.5,118.5,227.3,108.8,18
2025-03-05,MIN @ CHA,CHA,1630162,22400892,0,1.0,25.2,29.9,33.4,35.4,16.2,9.0,22.56,115.9,115.9,211.4,95.5,29
2025-03-07,MIN @ MIA,MIA,1630162,22400907,0,2.0,25.2,28.7,33.2,35.4,16.0,8.6,21.184,110.9,110.9,222.3,111.4,13
2025-03-09,MIN vs. SAS,SAS,1630162,22400925,1,2.0,24.4,25.6,33.8,35.6,15.0,7.4,19.256,120.5,120.5,234.1,113.6,25
