GAME_DATE,MATCHUP,opponent,Player_ID,Game_ID,is_home,rest_days,pts_avg_5,pts_avg_10,min_avg_5,min_avg_10,fga_avg_5,fta_avg_5,usage_avg_5,pts_allowed_avg_10,pts_allowed_avg_10,pace_proxy_avg_10,star_pts_allowed_avg_10,label_pts
2024-11-13,DET @ MIL,MIL,1630595,22400223,0,1.0,21.2,21.4,36.8,36.4,18.6,5.0,25.4,113.3,113.3,221.4,108.1,35
2024-11-15,DET @ TOR,TOR,1630595,22400011,0,2.0,24.8,22.8,38.2,36.6,22.0,4.8,29.312,120.6,120.6,233.8,113.2,15
2024-11-17,DET @ WAS,WAS,1630595,22400237,0,2.0,23.8,21.9,37.8,36.7,21.6,4.8,29.312,124.1,124.1,235.8,111.7,21
2024-11-18,DET vs. CHI,CHI,1630595,22400244,1,1.0,23.6,21.8,36.8,36.1,21.2,4.8,27.912,125.0,125.0,240.3,115.3,26
2024-11-21,DET @ CHA,CHA,1630595,22400260,0,3.0,23.6,22.2,36.8,36.5,20.4,5.4,27.176,112.0,112.0,217.4,105.4,27
2024-11-29,DET @ IND,IND,1630595,22400045,0,5.0,24.8,23.0,36.6,36.7,22.6,5.8,29.151999999999997,116.5,116.5,231.6,115.1,24
2024-12-03,DET vs. MIL,MIL,1630595,22400052,1,4.0,22.6,23.7,34.6,36.4,19.6,5.0,25.8,109.2,109.2,224.6,115.4,23
2024-12-04,DET @ BOS,BOS,1630595,22400319,0,1.0,24.2,24.0,34.0,35.9,18.6,5.8,25.152,109.9,109.9,229.8,119.9,27
2024-12-07,DET @ NYK,NYK,1630595,22400343,0,3.0,25.4,24.5,34.6,35.7,19.8,5.2,26.887999999999998,109.0,109.0,230.4,121.4,29
2024-12-12,DET @ BOS,BOS,1630595,22401205,0,5.0,26.0,24.8,34.4,35.6,19.8,4.8,26.712,109.7,109.7,227.7,118.0,18
2024-12-16,DET vs. MIA,MIA,1630595,22401221,1,4.0,24.2,24.5,34.0,35.3,19.0,3.0,24.72,107.7,107.7,221.8,114.1,20
2024-12-19,DET vs. UTA,UTA,1630595,22400360,1,3.0,23.4,23.0,35.8,35.2,18.6,4.0,24.36,121.8,121.8,233.2,111.4,33
2024-12-21,DET @ PHX,PHX,1630595,22400387,0,2.0,25.4,24.8,37.0,35.5,20.0,3.6,25.584,114.2,114.2,230.9,116.7,28
2024-12-23,DET @ LAL,LAL,1630595,22400404,0,2.0,25.6,25.5,37.4,36.0,19.6,5.0,25.4,108.6,108.6,211.5,102.9,20
2024-12-26,DET @ SAC,SAC,1630595,22400418,0,3.0,23.8,24.9,37.4,35.9,21.2,4.0,26.96,114.0,114.0,231.0,117.0,33
2024-12-28,DET @ DEN,DEN,1630595,22400432,0,2.0,26.8,25.5,38.0,36.0,21.6,6.4,28.416000000000004,119.0,119.0,241.6,122.6,17
