GAME_DATE,MATCHUP,opponent,Player_ID,Game_ID,is_home,rest_days,pts_avg_5,pts_avg_10,min_avg_5,min_avg_10,fga_avg_5,fta_avg_5,usage_avg_5,pts_allowed_avg_10,pts_allowed_avg_10,pace_proxy_avg_10,star_pts_allowed_avg_10,label_pts
2024-11-13,MIL vs. DET,DET,203507,22400223,1,1.0,31.0,30.7,34.6,34.5,22.0,8.8,27.872000000000003,109.9,109.9,219.0,109.1,59
2024-11-16,MIL @ CHA,CHA,203507,22400229,0,3.0,36.0,34.1,35.6,35.8,23.4,10.8,30.752000000000002,113.4,113.4,220.8,107.4,22
2024-11-18,MIL vs. HOU,HOU,203507,22400248,1,2.0,34.2,32.5,36.2,35.6,23.6,8.6,29.584000000000003,105.7,105.7,221.6,115.9,20
2024-11-20,MIL vs. CHI,CHI,203507,22400253,1,2.0,33.4,32.3,37.0,35.9,22.8,8.8,30.272000000000002,126.3,126.3,243.6,117.3,41
2024-11-22,MIL vs. IND,IND,203507,22400029,1,2.0,33.0,33.4,36.2,35.5,21.8,9.6,29.624000000000002,117.5,117.5,231.2,113.7,37
2024-11-23,MIL vs. CHA,CHA,203507,22400268,1,1.0,35.8,33.4,36.6,35.6,23.6,10.0,32.0,111.7,111.7,218.5,106.8,32
2024-11-30,MIL vs. WAS,WAS,203507,22400302,1,5.0,30.4,33.2,34.0,34.8,21.4,8.6,29.384000000000004,122.5,122.5,227.1,104.6,42
2024-12-03,MIL @ DET,DET,203507,22400052,0,3.0,34.4,34.3,35.0,35.6,21.8,11.8,31.591999999999995,113.0,113.0,224.5,111.5,28
2024-12-04,MIL vs. ATL,ATL,203507,22400323,1,1.0,36.0,34.7,33.4,35.2,20.6,12.8,30.432000000000006,116.5,116.5,233.4,116.9,31
2024-12-06,MIL @ BOS,BOS,203507,22400335,0,2.0,34.0,33.5,33.6,34.9,18.6,15.2,30.088,110.2,110.2,231.5,121.3,30
2024-12-08,MIL @ BKN,BKN,203507,22400348,0,2.0,32.6,34.2,33.8,35.2,19.4,14.2,29.448,112.3,112.3,219.7,107.4,34
2024-12-10,MIL vs. ORL,ORL,203507,22401201,1,2.0,33.0,31.7,35.2,34.6,19.2,14.2,29.048000000000002,104.8,104.8,215.0,110.2,37
2024-12-14,MIL vs. ATL,ATL,203507,22401229,1,4.0,32.0,33.2,34.8,34.9,19.2,13.2,29.008,118.3,118.3,237.9,119.6,32
2024-12-20,MIL @ CLE,CLE,203507,22400374,0,5.0,32.8,34.4,36.8,35.1,20.0,14.4,29.336000000000002,110.2,110.2,228.2,118.0,33
2024-12-31,MIL @ IND,IND,203507,22400450,0,5.0,33.2,33.6,35.6,34.6,21.6,11.2,29.727999999999998,113.4,113.4,231.0,117.6,30
2025-01-02,MIL vs. BKN,BKN,203507,22400465,1,2.0,33.2,32.9,35.4,34.6,20.6,12.6,29.544,112.5,112.5,216.0,103.5,27
2025-01-04,MIL vs. POR,POR,203507,22400483,1,2.0,31.8,32.4,35.2,35.2,21.0,12.6,29.944,119.2,119.2,230.0,110.8,31
2025-01-06,MIL @ TOR,TOR,203507,22400497,0,2.0,30.6,31.3,35.6,35.2,21.6,11.0,29.439999999999998,122.5,122.5,231.0,108.5,11
2025-01-08,MIL vs. SAS,SAS,203507,22400516,1,2.0,26.4,29.6,33.8,35.3,20.2,7.8,27.832,107.9,107.9,220.8,112.9,25
2025-01-10,MIL @ ORL,ORL,203507,22400526,0,2.0,24.8,29.0,35.0,35.3,20.0,7.2,27.168,102.1,102.1,201.1,99.0,41
2025-01-12,MIL @ NYK,NYK,203507,22400539,0,2.0,27.0,30.1,35.4,35.4,21.8,6.6,28.904000000000003,112.3,112.3,226.9,114.6,24
2025-01-14,MIL vs. SAC,SAC,203507,22400558,1,2.0,26.4,29.1,34.2,34.7,21.2,6.6,28.503999999999998,114.1,114.1,232.2,118.1,33
2025-01-15,MIL vs. ORL,ORL,203507,22400564,1,1.0,26.8,28.7,34.0,34.8,20.4,7.2,27.768,101.1,101.1,198.2,97.1,26
2025-01-17,MIL vs. TOR,TOR,203507,22400580,1,2.0,29.8,28.1,34.2,34.0,21.8,8.4,29.496,117.3,117.3,223.4,106.1,35
2025-01-19,MIL vs. PHI,PHI,203507,22400594,1,2.0,31.8,28.3,34.0,34.5,21.6,10.6,30.663999999999998,114.3,114.3,222.3,108.0,34
2025-01-23,MIL vs. MIA,MIA,203507,22400624,1,4.0,30.4,28.7,33.8,34.6,19.2,11.4,28.016,112.9,112.9,223.1,110.2,25
2025-01-25,MIL @ LAC,LAC,203507,22400646,0,2.0,30.6,28.5,34.0,34.1,18.6,11.4,26.815999999999995,101.7,101.7,214.8,113.1,36
2025-01-27,MIL @ UTA,UTA,203507,22400658,0,2.0,31.2,29.0,33.6,33.8,18.4,13.0,27.52,116.2,116.2,226.9,110.7,35
2025-01-28,MIL @ POR,POR,203507,22400662,0,1.0,33.0,31.4,35.0,34.6,20.0,13.4,28.496,111.4,111.4,216.9,105.5,39
2025-01-31,MIL @ SAS,SAS,203507,22400684,0,3.0,33.8,32.8,35.2,34.6,20.8,11.8,28.191999999999997,123.0,123.0,237.0,114.0,35
2025-02-02,MIL vs. MEM,MEM,203507,22400699,1,2.0,34.0,32.2,34.8,34.3,22.0,11.8,29.792,118.9,118.9,243.3,124.4,30
2025-02-20,MIL vs. LAC,LAC,203507,22400793,1,5.0,35.0,32.8,35.8,34.9,22.6,11.0,30.639999999999997,114.4,114.4,231.5,117.1,23
2025-02-21,MIL @ WAS,WAS,203507,22400799,0,1.0,32.4,31.8,33.6,33.6,21.0,9.0,27.96,121.3,121.3,233.3,112.0,18
2025-02-23,MIL vs. MIA,MIA,203507,22400817,1,2.0,29.0,31.0,30.0,32.5,18.2,9.2,26.247999999999998,113.1,113.1,220.4,107.3,23
2025-02-25,MIL @ HOU,HOU,203507,22400831,0,2.0,25.8,29.8,29.2,32.2,17.0,7.2,23.968,111.8,111.8,219.7,107.9,27
2025-02-27,MIL vs. DEN,DEN,203507,22400846,1,2.0,24.2,29.1,28.8,31.8,15.8,6.8,22.392000000000003,112.3,112.3,236.5,124.2,28
2025-03-01,MIL @ DAL,DAL,203507,22400865,0,2.0,23.8,29.4,28.0,31.9,16.2,7.2,22.568,112.4,112.4,225.5,113.1,29
2025-03-04,MIL @ ATL,ATL,203507,22400884,0,3.0,25.0,28.7,29.6,31.6,16.2,8.8,22.672,122.0,122.0,242.9,120.9,26
2025-03-05,MIL vs. DAL,DAL,203507,22400897,1,1.0,26.6,27.8,32.6,31.3,18.0,9.0,23.759999999999998,114.0,114.0,224.3,110.3,32
2025-03-08,MIL vs. ORL,ORL,203507,22400917,1,3.0,28.4,27.1,31.2,30.2,18.4,10.2,24.688,108.7,108.7,215.8,107.1,37
2025-03-09,MIL vs. CLE,CLE,203507,22400922,1,1.0,30.4,27.3,31.8,30.3,19.6,10.0,25.8,110.1,110.1,236.0,125.9,30
2025-03-11,MIL @ IND,IND,203507,22400942,0,2.0,30.8,27.3,32.0,30.0,19.8,10.0,26.4,114.4,114.4,232.8,118.4,19
2025-03-13,MIL vs. LAL,LAL,203507,22400955,1,2.0,28.8,26.9,32.4,31.0,19.8,8.0,26.119999999999997,105.3,105.3,217.6,112.3,24
2025-03-15,MIL vs. IND,IND,203507,22400972,1,2.0,28.4,27.5,31.6,32.1,19.6,8.2,26.008,113.4,113.4,228.9,115.5,34
