GAME_DATE,MATCHUP,opponent,Player_ID,Game_ID,is_home,rest_days,pts_avg_5,pts_avg_10,min_avg_5,min_avg_10,fga_avg_5,fta_avg_5,usage_avg_5,pts_allowed_avg_10,pts_allowed_avg_10,pace_proxy_avg_10,star_pts_allowed_avg_10,label_pts
2024-11-13,NYK vs. CHI,CHI,1628973,22400219,1,1.0,23.2,24.3,37.4,34.7,17.6,7.0,23.28,119.9,119.9,234.9,115.0,24
2024-11-15,NYK vs. BKN,BKN,1628973,22400014,1,2.0,22.2,24.5,35.8,35.6,16.8,6.2,22.327999999999996,113.1,113.1,224.7,111.6,37
2024-11-17,NYK vs. BKN,BKN,1628973,22400240,1,2.0,25.4,25.6,35.2,36.0,17.2,8.2,23.607999999999997,115.3,115.3,227.6,112.3,12
2024-11-18,NYK vs. WAS,WAS,1628973,22400246,1,1.0,24.8,24.7,35.6,35.6,17.2,9.0,24.56,123.0,123.0,233.5,110.5,26
2024-11-20,NYK @ PHX,PHX,1628973,22400257,0,2.0,23.4,25.1,33.4,35.0,16.8,7.2,22.768,113.2,113.2,222.3,109.1,36
2024-11-23,NYK @ UTA,UTA,1628973,22400264,0,3.0,27.0,25.1,33.8,35.6,18.0,6.6,23.503999999999998,120.8,120.8,234.2,113.4,23
2024-11-25,NYK @ DEN,DEN,1628973,22400283,0,2.0,26.8,24.5,34.4,35.1,17.8,6.6,23.304,112.7,112.7,231.1,118.4,23
2024-11-27,NYK @ DAL,DAL,1628973,22400292,0,2.0,24.0,24.7,35.2,35.2,16.6,4.8,21.112000000000002,113.6,113.6,233.2,119.6,37
2024-11-29,NYK @ CHA,CHA,1628973,22400040,0,2.0,29.0,26.9,35.6,35.6,18.0,5.2,22.488,110.1,110.1,216.2,106.1,31
2024-12-01,NYK vs. NOP,NOP,1628973,22400308,1,2.0,30.0,26.7,37.0,35.2,18.6,7.0,24.28,113.6,113.6,214.0,100.4,16
2024-12-03,NYK vs. ORL,ORL,1628973,22400053,1,2.0,26.0,26.5,34.8,34.3,16.6,7.0,21.880000000000003,99.2,99.2,206.7,107.5,21
2024-12-05,NYK vs. CHA,CHA,1628973,22400327,1,2.0,25.6,26.2,32.8,33.6,15.8,6.8,21.192,111.3,111.3,218.3,107.0,24
2024-12-07,NYK vs. DET,DET,1628973,22400343,1,2.0,25.8,24.9,30.6,32.9,14.6,7.8,20.032,116.6,116.6,228.9,112.3,31
2024-12-09,NYK @ TOR,TOR,1628973,22400359,0,2.0,24.6,26.8,32.2,33.9,14.6,7.6,20.544,114.3,114.3,227.2,112.9,20
2024-12-11,NYK vs. ATL,ATL,1628973,22401202,1,2.0,22.4,26.2,31.8,34.4,13.6,6.2,19.128,120.3,120.3,238.8,118.5,14
2024-12-15,NYK @ ORL,ORL,1628973,22401227,0,4.0,22.0,24.0,33.8,34.3,14.4,5.8,19.552,104.4,104.4,213.6,109.2,31
2024-12-19,NYK @ MIN,MIN,1628973,22400367,0,4.0,24.0,24.8,36.0,34.4,15.0,7.8,21.032,97.4,97.4,202.0,104.6,14
2024-12-21,NYK @ NOP,NOP,1628973,22400384,0,2.0,22.0,23.9,36.6,33.6,16.2,6.6,22.304,120.8,120.8,228.4,107.6,39
2024-12-23,NYK vs. TOR,TOR,1628973,22400397,1,2.0,23.6,24.1,35.8,34.0,15.8,6.0,21.44,116.6,116.6,226.5,109.9,12
2024-12-25,NYK vs. SAS,SAS,1628973,22400405,1,2.0,22.0,22.2,35.2,33.5,15.8,6.6,21.704,117.7,117.7,231.8,114.1,20
2024-12-27,NYK @ ORL,ORL,1628973,22400419,0,2.0,23.2,22.6,35.6,34.7,17.4,7.4,23.456,106.1,106.1,209.8,103.7,26
2024-12-28,NYK @ WAS,WAS,1628973,22400429,0,1.0,22.2,23.1,35.4,35.7,18.0,5.8,22.952,119.4,119.4,226.1,106.7,55
2024-12-30,NYK @ WAS,WAS,1628973,22400443,0,2.0,30.4,26.2,38.2,37.4,21.4,8.8,27.672000000000004,121.2,121.2,232.4,111.2,18
2025-01-03,NYK @ OKC,OKC,1628973,22400473,0,4.0,26.2,24.9,37.4,36.6,21.0,8.6,26.784,101.8,101.8,216.4,114.6,22
2025-01-04,NYK @ CHI,CHI,1628973,22400482,0,1.0,28.2,25.1,39.0,37.1,23.0,8.2,28.607999999999997,115.2,115.2,226.0,110.8,33
2025-01-06,NYK vs. ORL,ORL,1628973,22400496,1,2.0,30.8,27.0,38.0,36.8,22.4,9.0,28.360000000000003,102.8,102.8,201.6,98.8,24
2025-01-08,NYK vs. TOR,TOR,1628973,22400511,1,2.0,30.4,26.3,37.8,36.6,22.4,9.8,28.912,123.9,123.9,232.4,108.5,13
2025-01-10,NYK vs. OKC,OKC,1628973,22400529,1,2.0,22.0,26.2,36.0,37.1,18.8,7.2,23.768,104.7,104.7,220.3,115.6,27
2025-01-12,NYK vs. MIL,MIL,1628973,22400539,1,2.0,23.8,25.0,35.4,36.4,18.4,8.6,24.383999999999997,106.4,106.4,219.4,113.0,44
2025-01-13,NYK vs. DET,DET,1628973,22400549,1,1.0,28.2,28.2,33.2,36.1,19.0,9.0,24.759999999999998,109.0,109.0,222.2,113.2,31
2025-01-15,NYK @ PHI,PHI,1628973,22400561,0,2.0,27.8,29.3,34.4,36.2,19.8,8.4,25.896000000000004,111.7,111.7,221.5,109.8,38
2025-01-17,NYK vs. MIN,MIN,1628973,22400578,1,2.0,30.6,30.5,36.2,37.0,20.0,8.2,26.607999999999997,110.1,110.1,221.4,111.3,26
2025-01-20,NYK vs. ATL,ATL,1628973,22400602,1,3.0,33.2,27.6,36.4,36.2,22.0,8.4,28.695999999999998,117.6,117.6,234.9,117.3,34
2025-01-21,NYK @ BKN,BKN,1628973,22400606,0,1.0,34.6,29.2,37.6,36.5,22.6,8.2,29.008,116.4,116.4,218.5,102.1,17
2025-01-25,NYK vs. SAC,SAC,1628973,22400641,1,4.0,29.2,28.7,39.6,36.4,21.0,7.4,27.056,117.2,117.2,241.6,124.4,25
2025-01-27,NYK vs. MEM,MEM,1628973,22400653,1,2.0,28.0,27.9,39.0,36.7,19.6,6.4,24.816,115.0,115.0,240.2,125.2,20
2025-01-29,NYK vs. DEN,DEN,1628973,22400668,1,2.0,24.4,27.5,35.0,35.6,18.0,5.0,21.800000000000004,114.0,114.0,234.9,120.9,30
2025-02-01,NYK vs. LAL,LAL,1628973,22400692,1,3.0,25.2,29.2,35.0,35.7,16.6,5.4,20.776,106.4,106.4,218.3,111.9,17
2025-02-03,NYK vs. HOU,HOU,1628973,22400702,1,2.0,21.8,28.2,35.2,36.4,16.6,4.6,21.024,112.7,112.7,227.8,115.1,42
2025-02-04,NYK @ TOR,TOR,1628973,22400713,0,1.0,26.8,28.0,34.8,37.2,18.4,6.6,24.303999999999995,105.0,105.0,216.4,111.4,28
2025-02-08,NYK vs. BOS,BOS,1628973,22400748,1,4.0,27.4,27.7,34.4,36.7,19.2,7.6,25.344,109.4,109.4,225.6,116.2,36
2025-02-11,NYK @ IND,IND,1628973,22400765,0,3.0,30.6,27.5,36.6,35.8,20.0,9.8,27.311999999999994,114.5,114.5,231.9,117.4,8
2025-02-12,NYK vs. ATL,ATL,1628973,22400773,1,1.0,26.2,25.7,34.0,34.5,19.0,8.4,25.895999999999997,116.9,116.9,230.2,113.3,36
2025-02-20,NYK vs. CHI,CHI,1628973,22400792,1,5.0,30.0,25.9,34.6,34.9,19.6,9.0,26.159999999999997,122.8,122.8,234.9,112.1,22
2025-02-21,NYK @ CLE,CLE,1628973,22400797,0,1.0,26.0,26.4,34.8,34.8,18.4,7.0,23.68,107.6,107.6,231.9,124.3,26
2025-02-23,NYK @ BOS,BOS,1628973,22400811,0,2.0,25.6,26.5,33.6,34.0,17.6,6.2,22.928,106.8,106.8,224.4,117.6,22
2025-02-26,NYK vs. PHI,PHI,1628973,22400838,1,3.0,22.8,26.7,34.0,35.3,17.8,3.6,22.384,117.9,117.9,226.3,108.4,34
2025-02-28,NYK @ MEM,MEM,1628973,22400856,0,2.0,28.0,27.1,36.6,35.3,19.0,6.8,24.791999999999998,120.8,120.8,244.3,123.5,23
2025-03-02,NYK @ MIA,MIA,1628973,22400869,0,2.0,25.4,27.7,35.2,34.9,19.4,5.0,24.4,109.7,109.7,216.5,106.8,31
2025-03-04,NYK vs. GSW,GSW,1628973,22400885,1,2.0,27.2,26.6,36.0,35.4,20.2,5.0,25.4,107.5,107.5,228.9,121.4,25
2025-03-06,NYK @ LAL,LAL,1628973,22400903,0,2.0,27.0,26.3,37.8,35.7,20.4,5.6,26.064,106.6,106.6,221.5,114.9,39
2025-04-06,NYK vs. PHX,PHX,1628973,22401140,1,5.0,30.4,26.6,38.4,36.2,21.8,8.2,28.407999999999998,119.5,119.5,232.4,112.9,15
2025-04-08,NYK vs. BOS,BOS,1628973,22401151,1,2.0,26.6,27.3,38.0,37.3,20.2,7.0,26.48,103.9,103.9,222.6,118.7,27
2025-04-10,NYK @ DET,DET,1628973,22401167,0,2.0,27.4,26.4,38.4,36.8,19.8,7.2,25.968,116.7,116.7,233.5,116.8,15
2025-04-11,NYK vs. CLE,CLE,1628973,22401175,1,1.0,24.2,25.7,35.8,35.9,17.8,7.4,24.056,113.8,113.8,235.1,121.3,27
