GAME_DATE,MATCHUP,opponent,Player_ID,Game_ID,is_home,rest_days,pts_avg_5,pts_avg_10,min_avg_5,min_avg_10,fga_avg_5,fta_avg_5,usage_avg_5,pts_allowed_avg_10,pts_allowed_avg_10,pace_proxy_avg_10,star_pts_allowed_avg_10,label_pts
2024-11-13,LAL vs. MEM,MEM,2544,22400225,1,3.0,25.2,23.2,36.0,34.9,17.0,4.6,21.224,110.3,110.3,230.7,120.4,35
2024-11-15,LAL @ SAS,SAS,2544,22400015,0,2.0,26.8,25.1,36.2,35.1,18.0,5.0,23.6,108.4,108.4,218.4,110.0,15
2024-11-16,LAL @ NOP,NOP,2544,22400231,0,1.0,25.8,24.5,35.8,35.4,17.2,4.8,23.912,114.3,114.3,217.8,103.5,21
2024-11-19,LAL vs. UTA,UTA,2544,22400026,1,3.0,22.2,23.4,36.2,35.7,16.2,5.0,23.199999999999996,117.7,117.7,225.9,108.2,26
2024-11-21,LAL vs. ORL,ORL,2544,22400263,1,2.0,23.2,24.9,36.2,35.5,16.8,7.0,25.08,97.8,97.8,200.4,102.6,31
2024-11-23,LAL vs. DEN,DEN,2544,22400270,1,2.0,25.6,25.4,36.6,36.3,18.4,6.4,26.615999999999996,114.4,114.4,231.7,117.3,18
2024-11-26,LAL @ PHX,PHX,2544,22400039,0,3.0,22.2,24.5,36.2,36.2,17.4,5.4,25.176,117.3,117.3,228.3,111.0,18
2024-11-27,LAL @ SAS,SAS,2544,22400296,0,1.0,22.8,24.3,35.6,35.7,18.2,5.0,25.4,110.3,110.3,226.2,115.9,16
2024-11-29,LAL vs. OKC,OKC,2544,22400048,1,2.0,21.8,22.0,34.8,35.5,18.0,4.0,24.560000000000002,107.3,107.3,222.1,114.8,12
2024-12-01,LAL @ UTA,UTA,2544,22400311,0,2.0,19.0,21.1,34.8,35.5,17.2,2.2,23.168,118.2,118.2,230.0,111.8,27
2024-12-02,LAL @ MIN,MIN,2544,22400318,0,1.0,18.2,21.9,34.6,35.6,18.4,2.0,24.080000000000002,110.7,110.7,217.5,106.8,10
2024-12-04,LAL @ MIA,MIA,2544,22400321,0,2.0,16.6,19.4,33.8,35.0,18.2,2.2,23.968,109.8,109.8,220.9,111.1,29
2024-12-06,LAL @ ATL,ATL,2544,22400334,0,2.0,18.8,20.8,32.6,34.1,18.6,2.6,24.544000000000004,115.2,115.2,231.1,115.9,39
2024-12-15,LAL vs. MEM,MEM,2544,22401220,1,5.0,23.4,22.6,34.6,34.7,20.0,3.8,26.272000000000002,115.3,115.3,243.8,128.5,18
2024-12-19,LAL @ SAC,SAC,2544,22400372,0,4.0,24.6,21.8,34.6,34.7,20.8,4.2,27.248,115.1,115.1,235.7,120.6,19
2024-12-21,LAL @ SAC,SAC,2544,22400376,0,2.0,23.0,20.6,34.2,34.4,19.4,4.0,25.560000000000002,113.4,113.4,233.1,119.7,32
2024-12-23,LAL vs. DET,DET,2544,22400404,1,2.0,27.4,22.0,34.8,34.3,21.0,4.4,26.936,121.5,121.5,237.5,116.0,28
2024-12-25,LAL @ GSW,GSW,2544,22400408,0,2.0,27.2,23.0,36.0,34.3,20.6,5.0,26.2,113.0,113.0,218.7,105.7,31
2024-12-31,LAL vs. CLE,CLE,2544,22400454,1,5.0,25.6,24.5,34.8,34.7,20.0,4.8,24.912,108.7,108.7,232.3,123.6,23
2025-01-02,LAL vs. POR,POR,2544,22400468,1,2.0,26.6,25.6,34.8,34.7,20.0,4.4,24.136,121.9,121.9,232.0,110.1,38
2025-01-03,LAL vs. ATL,ATL,2544,22400477,1,1.0,30.4,26.7,35.2,34.7,20.8,4.4,25.336,120.5,120.5,239.8,119.3,30
2025-01-05,LAL @ HOU,HOU,2544,22400491,0,2.0,30.0,28.7,34.4,34.6,20.0,3.6,23.983999999999998,106.1,106.1,214.5,108.4,21
2025-01-07,LAL @ DAL,DAL,2544,22400504,0,2.0,28.6,27.9,34.6,35.3,20.0,2.6,23.544,111.6,111.6,220.0,108.4,18
2025-01-13,LAL vs. SAS,SAS,2544,22400552,1,5.0,26.0,25.8,34.2,34.5,18.0,2.8,21.832,107.4,107.4,217.5,110.1,18
2025-01-15,LAL vs. MIA,MIA,2544,22400570,1,2.0,25.0,25.8,33.8,34.3,16.8,3.2,21.808,111.2,111.2,220.6,109.4,22
2025-01-17,LAL vs. BKN,BKN,2544,22400585,1,2.0,21.8,26.1,34.2,34.7,14.8,3.2,19.408,116.7,116.7,220.0,103.3,29
2025-01-19,LAL @ LAC,LAC,2544,22400596,0,2.0,21.6,25.8,35.2,34.8,14.2,3.2,19.208,103.6,103.6,213.1,109.5,25
2025-01-21,LAL vs. WAS,WAS,2544,22400610,1,2.0,22.4,25.5,35.0,34.8,15.0,4.0,20.96,125.5,125.5,233.1,107.6,21
2025-01-23,LAL vs. BOS,BOS,2544,22400629,1,2.0,23.0,24.5,35.2,34.7,16.2,3.4,22.496,105.1,105.1,216.2,111.1,20
2025-01-25,LAL @ GSW,GSW,2544,22400644,0,2.0,23.4,24.2,35.0,34.4,18.0,3.0,23.12,114.2,114.2,221.4,107.2,25
2025-01-27,LAL @ CHA,CHA,2544,22400648,0,2.0,24.0,22.9,34.4,34.3,20.0,3.0,25.32,110.3,110.3,222.2,111.9,22
2025-01-28,LAL @ PHI,PHI,2544,22400660,0,1.0,22.6,22.1,34.6,34.9,20.0,3.6,25.584,118.1,118.1,228.6,110.5,31
2025-01-30,LAL @ WAS,WAS,2544,22400674,0,2.0,23.8,23.1,34.2,34.6,19.2,4.6,25.824,120.7,120.7,222.5,101.8,24
2025-02-01,LAL @ NYK,NYK,2544,22400692,0,2.0,24.4,23.7,32.4,33.8,19.4,5.0,25.2,113.4,113.4,234.4,121.0,33
2025-02-04,LAL @ LAC,LAC,2544,22400715,0,3.0,27.0,25.2,33.6,34.3,20.6,5.4,27.176,107.6,107.6,221.6,114.0,26
2025-02-06,LAL vs. GSW,GSW,2544,22400731,1,2.0,27.2,25.6,32.8,33.6,18.2,7.2,25.568,115.8,115.8,228.8,113.0,42
2025-02-10,LAL vs. UTA,UTA,2544,22400768,1,4.0,31.2,26.9,33.2,33.9,19.8,8.2,27.208,122.9,122.9,236.4,113.5,24
2025-02-12,LAL @ UTA,UTA,2544,22400781,0,2.0,29.8,26.8,32.4,33.3,20.0,6.4,26.415999999999997,123.8,123.8,237.2,113.4,18
2025-02-19,LAL vs. CHA,CHA,2544,22400524,1,5.0,28.6,26.5,33.8,33.1,18.8,6.2,25.727999999999998,109.8,109.8,210.6,100.8,26
2025-02-20,LAL @ POR,POR,2544,22400796,0,1.0,27.2,27.1,34.0,33.8,18.0,5.8,24.151999999999997,113.0,113.0,228.6,115.6,40
2025-02-22,LAL @ DEN,DEN,2544,22400808,0,2.0,30.0,28.6,35.0,33.9,20.2,5.2,27.688,114.0,114.0,240.6,126.6,25
2025-02-25,LAL vs. DAL,DAL,2544,22400835,1,3.0,26.6,28.9,34.0,33.6,19.0,3.8,25.471999999999998,118.2,118.2,231.4,113.2,27
2025-02-27,LAL vs. MIN,MIN,2544,22400849,1,2.0,27.2,28.5,35.6,34.0,19.0,4.2,25.448,114.7,114.7,232.2,117.5,33
2025-02-28,LAL vs. LAC,LAC,2544,22400859,1,1.0,30.2,29.4,36.2,35.0,20.6,5.4,27.776,116.4,116.4,229.9,113.5,28
2025-03-02,LAL vs. LAC,LAC,2544,22400874,1,2.0,30.6,28.9,36.0,35.0,20.4,5.6,28.064,115.5,115.5,228.4,112.9,17
2025-03-04,LAL vs. NOP,NOP,2544,22400890,1,2.0,26.0,28.0,36.0,35.5,19.0,4.8,25.712,118.4,118.4,234.0,115.6,34
2025-03-06,LAL vs. NYK,NYK,2544,22400903,1,2.0,27.8,27.2,36.0,35.0,18.8,6.0,26.640000000000004,120.9,120.9,235.5,114.6,31
2025-03-08,LAL @ BOS,BOS,2544,22400918,0,2.0,28.6,27.9,37.4,36.5,20.0,6.8,27.192,106.4,106.4,221.0,114.6,22
2025-03-22,LAL vs. CHI,CHI,2544,22401028,1,5.0,26.4,28.3,37.0,36.6,20.4,5.4,26.375999999999998,116.8,116.8,234.7,117.9,17
2025-03-24,LAL @ ORL,ORL,2544,22401038,0,2.0,24.2,27.4,35.8,35.9,19.4,5.8,25.752,108.4,108.4,217.7,109.3,24
2025-03-26,LAL @ IND,IND,2544,22401055,0,2.0,25.6,25.8,36.2,36.1,19.6,6.4,25.016,114.7,114.7,231.3,116.6,13
2025-03-27,LAL @ CHI,CHI,2544,22401063,0,1.0,21.4,24.6,37.2,36.6,18.4,5.6,22.864,113.6,113.6,236.1,122.5,17
