GAME_DATE,MATCHUP,opponent,Player_ID,Game_ID,is_home,rest_days,pts_avg_5,pts_avg_10,min_avg_5,min_avg_10,fga_avg_5,fta_avg_5,usage_avg_5,pts_allowed_avg_10,pts_allowed_avg_10,pace_proxy_avg_10,star_pts_allowed_avg_10,label_pts
2024-11-11,OKC vs. LAC,LAC,1628983,22400215,1,1.0,25.4,26.1,33.6,32.5,16.4,8.8,24.672,106.3,106.3,214.8,108.5,45
2024-11-13,OKC vs. NOP,NOP,1628983,22400221,1,2.0,29.4,27.8,35.2,32.8,17.8,10.2,26.288,117.1,117.1,222.5,105.4,29
2024-11-15,OKC vs. PHX,PHX,1628983,22400018,1,2.0,31.0,28.4,34.8,33.2,19.6,10.0,27.6,113.0,113.0,227.0,114.0,28
2024-11-17,OKC vs. DAL,DAL,1628983,22400242,1,2.0,31.0,27.7,33.6,32.9,20.8,8.8,27.072000000000003,110.4,110.4,225.3,114.9,36
2024-11-19,OKC @ SAS,SAS,1628983,22400025,0,2.0,32.4,29.5,35.4,33.9,21.4,9.6,27.624000000000002,110.3,110.3,221.7,111.4,32
2024-11-20,OKC vs. POR,POR,1628983,22400256,1,1.0,34.0,29.7,36.0,34.8,22.0,8.0,27.52,114.0,114.0,221.3,107.3,28
2024-11-25,OKC @ SAC,SAC,1628983,22400285,0,5.0,30.6,30.0,36.0,35.6,21.6,7.6,27.144,112.0,112.0,223.6,111.6,37
2024-11-27,OKC @ GSW,GSW,1628983,22400299,0,2.0,32.2,31.6,36.4,35.6,20.6,9.2,27.648000000000003,113.8,113.8,228.8,115.0,35
2024-11-29,OKC @ LAL,LAL,1628983,22400048,0,2.0,33.6,32.3,37.6,35.6,21.2,10.4,28.976,113.8,113.8,229.2,115.4,36
2024-12-01,OKC @ HOU,HOU,1628983,22400310,0,2.0,33.6,33.0,37.4,36.4,23.0,9.8,30.912,103.8,103.8,220.7,116.9,32
2024-12-03,OKC vs. UTA,UTA,1628983,22400055,1,2.0,33.6,33.8,37.2,36.6,22.8,10.8,30.752,116.7,116.7,227.7,111.0,26
2024-12-05,OKC @ TOR,TOR,1628983,22400328,0,2.0,33.2,31.9,35.4,35.7,22.8,8.4,29.296,111.4,111.4,225.1,113.7,30
2024-12-07,OKC @ NOP,NOP,1628983,22400342,0,2.0,31.8,32.0,34.4,35.4,23.2,7.8,28.631999999999998,119.5,119.5,222.8,103.3,31
2024-12-10,OKC vs. DAL,DAL,1628983,22401203,1,3.0,31.0,32.3,33.4,35.5,21.2,8.2,27.008,112.7,112.7,238.4,125.7,39
2024-12-14,OKC vs. HOU,HOU,1628983,22401230,1,4.0,31.6,32.6,33.6,35.5,20.2,7.4,25.456,106.2,106.2,217.6,111.4,32
2024-12-19,OKC @ ORL,ORL,1628983,22400361,0,5.0,31.6,32.6,34.0,35.6,20.6,8.2,26.008,104.4,104.4,211.6,107.2,35
