GAME_DATE,MATCHUP,opponent,Player_ID,Game_ID,is_home,rest_days,pts_avg_5,pts_avg_10,min_avg_5,min_avg_10,fga_avg_5,fta_avg_5,usage_avg_5,pts_allowed_avg_10,pts_allowed_avg_10,pace_proxy_avg_10,star_pts_allowed_avg_10,label_pts
2024-11-20,GSW vs. ATL,ATL,201939,22400258,1,2.0,24.8,23.0,30.8,29.1,18.0,2.4,22.856,117.5,117.5,232.9,115.4,23
2024-11-22,GSW @ NOP,NOP,201939,22400032,0,2.0,27.0,23.6,32.0,29.6,18.0,3.2,23.008000000000003,116.1,116.1,216.6,100.5,19
2024-11-23,GSW @ SAS,SAS,201939,22400269,0,1.0,23.6,23.5,31.2,30.2,16.0,3.0,21.119999999999997,113.4,113.4,226.5,113.1,14
2024-11-25,GSW vs. BKN,BKN,201939,22400284,1,2.0,19.0,23.1,30.6,30.7,13.8,2.2,18.368000000000002,113.0,113.0,220.9,107.9,28
2024-11-30,GSW @ PHX,PHX,201939,22400303,0,5.0,22.0,23.5,31.2,31.2,15.4,2.6,20.144,117.2,117.2,229.3,112.1,23
2024-12-03,GSW @ DEN,DEN,201939,22400058,0,3.0,21.4,23.1,31.2,31.0,15.4,3.6,19.984,115.7,115.7,232.9,117.2,24
2024-12-06,GSW vs. MIN,MIN,201939,22400338,1,3.0,21.6,24.3,32.0,32.0,18.0,3.4,22.496000000000002,105.0,105.0,213.3,108.3,23
2024-12-08,GSW vs. MIN,MIN,201939,22400355,1,2.0,22.4,23.0,31.8,31.5,18.8,4.4,23.536,103.4,103.4,212.6,109.2,30
2024-12-11,GSW @ HOU,HOU,201939,22401204,0,3.0,25.6,22.3,32.4,31.5,19.2,6.4,24.816000000000003,107.3,107.3,219.6,112.3,19
2024-12-15,GSW vs. DAL,DAL,201939,22401228,1,4.0,23.8,22.9,33.4,32.3,19.2,5.8,24.152,115.4,115.4,238.3,122.9,26
2024-12-19,GSW @ MEM,MEM,201939,22400366,0,4.0,24.4,22.9,34.0,32.6,18.8,5.0,23.8,113.8,113.8,239.1,125.3,2
2024-12-21,GSW @ MIN,MIN,201939,22400383,0,2.0,20.0,20.8,32.0,32.0,15.6,4.6,19.824,100.0,100.0,204.8,104.8,31
2024-12-23,GSW vs. IND,IND,201939,22400403,1,2.0,21.6,22.0,32.4,32.1,16.4,4.0,19.96,114.0,114.0,229.1,115.1,10
2024-12-25,GSW vs. LAL,LAL,201939,22400408,1,2.0,17.6,21.6,32.4,32.4,15.4,2.6,18.344,110.2,110.2,215.2,105.0,38
2024-12-28,GSW vs. PHX,PHX,201939,22400431,1,3.0,21.4,22.6,32.8,33.1,16.8,2.8,20.432,116.5,116.5,228.5,112.0,22
2024-12-30,GSW vs. CLE,CLE,201939,22400446,1,2.0,20.6,22.5,32.8,33.4,17.4,2.6,21.544,107.9,107.9,232.0,124.1,11
2025-01-02,GSW vs. PHI,PHI,201939,22400467,1,3.0,22.4,21.2,33.8,32.9,18.8,2.2,22.568,110.0,110.0,221.8,111.8,30
2025-01-05,GSW vs. SAC,SAC,201939,22400492,1,3.0,22.2,21.9,33.0,32.7,17.6,1.2,21.128,116.3,116.3,229.3,113.0,26
2025-01-07,GSW vs. MIA,MIA,201939,22400508,1,2.0,25.4,21.5,32.0,32.2,17.4,1.6,21.304,112.3,112.3,219.9,107.6,31
2025-01-09,GSW @ DET,DET,201939,22400518,0,2.0,24.0,22.7,31.4,32.1,17.0,1.4,20.816,112.0,112.0,227.7,115.7,17
2025-01-13,GSW @ TOR,TOR,201939,22400550,0,4.0,23.0,21.8,31.6,32.2,16.8,2.4,20.656,126.9,126.9,236.7,109.8,26
2025-01-15,GSW @ MIN,MIN,201939,22400565,0,2.0,26.0,24.2,32.8,33.3,17.4,3.2,22.208000000000002,109.7,109.7,220.8,111.1,31
2025-01-18,GSW vs. WAS,WAS,201939,22400589,1,3.0,26.2,24.2,34.2,33.6,18.6,4.0,23.560000000000002,124.3,124.3,233.6,109.3,26
2025-01-20,GSW vs. BOS,BOS,201939,22400604,1,2.0,26.2,25.8,35.0,33.5,20.6,3.2,24.608,103.9,103.9,215.1,111.2,18
2025-01-22,GSW @ SAC,SAC,201939,22400619,0,2.0,23.6,23.8,33.8,32.6,19.4,3.4,23.296,113.0,113.0,235.1,122.1,14
2025-01-23,GSW vs. CHI,CHI,201939,22400628,1,1.0,23.0,23.0,33.4,32.5,17.4,2.6,20.944,116.0,116.0,232.7,116.7,21
2025-01-25,GSW vs. LAL,LAL,201939,22400644,1,2.0,22.0,24.0,32.6,32.7,17.8,1.8,20.791999999999998,108.0,108.0,217.6,109.6,13
